date,home_team,score,away_team
13-08-2021,Brentford,2 -- 0,Arsenal
22-08-2021,Arsenal,0 -- 2,Chelsea
28-08-2021,Man City,5 -- 0,Arsenal
11-09-2021,Arsenal,1 -- 0,Norwich
18-09-2021,Burnley,0 -- 1,Arsenal
26-09-2021,Arsenal,3 -- 1,Tottenham
02-10-2021,Brighton,0 -- 0,Arsenal
18-10-2021,Arsenal,2 -- 2,Crystal Palace
22-10-2021,Arsenal,3 -- 1,Aston Villa
30-10-2021,Leicester,0 -- 2,Arsenal
07-11-2021,Arsenal,1 -- 0,Watford
20-11-2021,Liverpool,4 -- 0,Arsenal
27-11-2021,Arsenal,2 -- 0,Newcastle
02-12-2021,Man United,3 -- 2,Arsenal
06-12-2021,Everton,2 -- 1,Arsenal
11-12-2021,Arsenal,3 -- 0,Southampton
15-12-2021,Arsenal,2 -- 0,West Ham
18-12-2021,Leeds,1 -- 4,Arsenal
26-12-2021,Norwich,0 -- 5,Arsenal
01-01-2022,Arsenal,1 -- 2,Man City
23-01-2022,Arsenal,0 -- 0,Burnley
10-02-2022,Wolves,0 -- 1,Arsenal
19-02-2022,Arsenal,2 -- 1,Brentford
24-02-2022,Arsenal,2 -- 1,Wolves
06-03-2022,Watford,2 -- 3,Arsenal
13-03-2022,Arsenal,2 -- 0,Leicester
16-03-2022,Arsenal,0 -- 2,Liverpool
19-03-2022,Aston Villa,0 -- 1,Arsenal
04-04-2022,Crystal Palace,3 -- 0,Arsenal
09-04-2022,Arsenal,1 -- 2,Brighton
16-04-2022,Southampton,1 -- 0,Arsenal
20-04-2022,Chelsea,2 -- 4,Arsenal
23-04-2022,Arsenal,3 -- 1,Man United
01-05-2022,West Ham,1 -- 2,Arsenal
08-05-2022,Arsenal,2 -- 1,Leeds
12-05-2022,Tottenham,3 -- 0,Arsenal
16-05-2022,Newcastle,2 -- 0,Arsenal
22-05-2022,Arsenal,5 -- 1,Everton
14-08-2021,Watford,3 -- 2,Aston Villa
21-08-2021,Aston Villa,2 -- 0,Newcastle
28-08-2021,Aston Villa,1 -- 1,Brentford
11-09-2021,Chelsea,3 -- 0,Aston Villa
18-09-2021,Aston Villa,3 -- 0,Everton
25-09-2021,Man United,0 -- 1,Aston Villa
03-10-2021,Tottenham,2 -- 1,Aston Villa
16-10-2021,Aston Villa,2 -- 3,Wolves
22-10-2021,Arsenal,3 -- 1,Aston Villa
31-10-2021,Aston Villa,1 -- 4,West Ham
05-11-2021,Southampton,1 -- 0,Aston Villa
20-11-2021,Aston Villa,2 -- 0,Brighton
27-11-2021,Crystal Palace,1 -- 2,Aston Villa
01-12-2021,Aston Villa,1 -- 2,Man City
05-12-2021,Aston Villa,2 -- 1,Leicester
11-12-2021,Liverpool,1 -- 0,Aston Villa
14-12-2021,Norwich,0 -- 2,Aston Villa
26-12-2021,Aston Villa,1 -- 3,Chelsea
02-01-2022,Brentford,2 -- 1,Aston Villa
15-01-2022,Aston Villa,2 -- 2,Man United
22-01-2022,Everton,0 -- 1,Aston Villa
09-02-2022,Aston Villa,3 -- 3,Leeds
13-02-2022,Newcastle,1 -- 0,Aston Villa
19-02-2022,Aston Villa,0 -- 1,Watford
26-02-2022,Brighton,0 -- 2,Aston Villa
05-03-2022,Aston Villa,4 -- 0,Southampton
10-03-2022,Leeds,0 -- 3,Aston Villa
13-03-2022,West Ham,2 -- 1,Aston Villa
19-03-2022,Aston Villa,0 -- 1,Arsenal
02-04-2022,Wolves,2 -- 1,Aston Villa
09-04-2022,Aston Villa,0 -- 4,Tottenham
23-04-2022,Leicester,0 -- 0,Aston Villa
30-04-2022,Aston Villa,2 -- 0,Norwich
07-05-2022,Burnley,1 -- 3,Aston Villa
10-05-2022,Aston Villa,1 -- 2,Liverpool
15-05-2022,Aston Villa,1 -- 1,Crystal Palace
19-05-2022,Aston Villa,1 -- 1,Burnley
22-05-2022,Man City,3 -- 2,Aston Villa
13-08-2021,Brentford,2 -- 0,Arsenal
21-08-2021,Crystal Palace,0 -- 0,Brentford
28-08-2021,Aston Villa,1 -- 1,Brentford
11-09-2021,Brentford,0 -- 1,Brighton
18-09-2021,Wolves,0 -- 2,Brentford
25-09-2021,Brentford,3 -- 3,Liverpool
03-10-2021,West Ham,1 -- 2,Brentford
16-10-2021,Brentford,0 -- 1,Chelsea
24-10-2021,Brentford,1 -- 2,Leicester
30-10-2021,Burnley,3 -- 1,Brentford
06-11-2021,Brentford,1 -- 2,Norwich
20-11-2021,Newcastle,3 -- 3,Brentford
28-11-2021,Brentford,1 -- 0,Everton
02-12-2021,Tottenham,2 -- 0,Brentford
05-12-2021,Leeds,2 -- 2,Brentford
10-12-2021,Brentford,2 -- 1,Watford
26-12-2021,Brighton,2 -- 0,Brentford
29-12-2021,Brentford,0 -- 1,Man City
02-01-2022,Brentford,2 -- 1,Aston Villa
11-01-2022,Southampton,4 -- 1,Brentford
16-01-2022,Liverpool,3 -- 0,Brentford
19-01-2022,Brentford,1 -- 3,Man United
22-01-2022,Brentford,1 -- 2,Wolves
09-02-2022,Man City,2 -- 0,Brentford
12-02-2022,Brentford,0 -- 0,Crystal Palace
19-02-2022,Arsenal,2 -- 1,Brentford
26-02-2022,Brentford,0 -- 2,Newcastle
05-03-2022,Norwich,1 -- 3,Brentford
12-03-2022,Brentford,2 -- 0,Burnley
20-03-2022,Leicester,2 -- 1,Brentford
02-04-2022,Chelsea,1 -- 4,Brentford
10-04-2022,Brentford,2 -- 0,West Ham
16-04-2022,Watford,1 -- 2,Brentford
23-04-2022,Brentford,0 -- 0,Tottenham
02-05-2022,Man United,3 -- 0,Brentford
07-05-2022,Brentford,3 -- 0,Southampton
15-05-2022,Everton,2 -- 3,Brentford
22-05-2022,Brentford,1 -- 2,Leeds
14-08-2021,Burnley,1 -- 2,Brighton
21-08-2021,Brighton,2 -- 0,Watford
28-08-2021,Brighton,0 -- 2,Everton
11-09-2021,Brentford,0 -- 1,Brighton
19-09-2021,Brighton,2 -- 1,Leicester
27-09-2021,Crystal Palace,1 -- 1,Brighton
02-10-2021,Brighton,0 -- 0,Arsenal
16-10-2021,Norwich,0 -- 0,Brighton
23-10-2021,Brighton,1 -- 4,Man City
30-10-2021,Liverpool,2 -- 2,Brighton
06-11-2021,Brighton,1 -- 1,Newcastle
20-11-2021,Aston Villa,2 -- 0,Brighton
27-11-2021,Brighton,0 -- 0,Leeds
01-12-2021,West Ham,1 -- 1,Brighton
04-12-2021,Southampton,1 -- 1,Brighton
